Date,Month,Day,Saint (EN),saint_el
02-01,2,1,Martyr Tryphon,
02-01,2,1,Holy Martyrs Perpetua and Felicity (and companions),
02-01,2,1,Our Holy Mother Brigid of Kildare,
02-02,2,2,,
02-03,2,3,Righteous Simeon the Godbearer,
02-03,2,3,Anna the Prophetess,
02-03,2,3,"St Nicholas (Nikolai), Archbishop of Japan (Equal-to-the-Apostles)",
02-04,2,4,Venerable Isidore of Pelusium,
02-04,2,4,Venerable Cyril of New Lake (Novoezersk),
02-05,2,5,St Theodosius of Chernigov (repose),
02-05,2,5,Holy Martyr Agatha of Palermo,
02-05,2,5,"Our Holy Father Polyeuctus, Patriarch of Constantinople",
02-05,2,5,Holy New Martyr Anthony of Athens,
02-06,2,6,"St Bucolus (Boukolos), Bishop of Smyrna",
02-06,2,6,"St Photios the Great, Patriarch of Constantinople",
02-06,2,6,"Sts Barsanuphius and John the Prophet, monks of Palestine",
02-07,2,7,"St Parthenius, Bishop of Lampsacus",
02-07,2,7,Venerable Luke the New of Mount Stirion (Hosios Loukas),
02-08,2,8,Greatmartyr Theodore Stratelates,
02-08,2,8,Holy Prophet Zechariah (6th c. BC),
02-08,2,8,"St Sabbas II, Archbishop of Serbia",
02-09,2,9,Martyr Nicephorus of Antioch,
02-09,2,9,Relics of St Innocent of Irkutsk,
02-09,2,9,"Hieromartyr Peter of Damascus, Bishop of Damascus",
02-09,2,9,"Venerable Peter of Damascus, the Hesychast",
02-10,2,10,"Hieromartyr Haralambos (Charalampus), Bishop of Magnesia",
02-10,2,10,St Scholastica of Italy,
02-10,2,10,Venerable Prochorus of the Kiev Caves,
02-11,2,11,Hieromartyr Blaise (Vlasios) of Sebaste,
02-11,2,11,Venerable Dimitry of Priluki,
02-11,2,11,St Theodora the Empress,
02-12,2,12,"St Meletius (Meletios), Archbishop of Antioch",
02-12,2,12,"St Alexius (Aleksy), Metropolitan of All Russia",
02-13,2,13,Venerable Martinian of Caesarea,
02-13,2,13,Holy Apostles (of the Seventy) Priscilla and Aquila,
02-13,2,13,St Symeon the Myrrh-streamer (founder of Hilandar Monastery),
02-14,2,14,"St Cyril, Teacher of the Slavs (Equal-to-the-Apostles)",
02-14,2,14,Our Holy Father Auxentius,
02-14,2,14,Venerable Maron the Hermit of Syria,
02-15,2,15,Apostle Onesimus of the Seventy,
02-15,2,15,Venerable Dalmatius of Siberia,
02-15,2,15,Venerable Anthimos of Chios,
02-16,2,16,Martyr Pamphylius and his Companions (at Caesarea),
02-17,2,17,Greatmartyr Theodore Tyro (the Recruit),
02-17,2,17,"Hieromartyr Hermogenes (Germogen), Patriarch of Moscow",
02-18,2,18,"St Leo the Great, Pope of Rome",
02-19,2,19,Holy Apostles of the Seventy Archippus and Philemon,
02-19,2,19,Venerable Mother Philothea of Athens,
02-20,2,20,"St Leo, Bishop of Catania in Sicily",
02-20,2,20,"St Bessarion the Great, Wonderworker of Egypt",
02-20,2,20,Thirty-Four Holy Martyrs of the Monastery of Valaam,
02-21,2,21,Venerable Timothy of Symbola,
02-21,2,21,"St Eustathius, Archbishop of Antioch",
02-21,2,21,"St John the Scholastic, Patriarch of Constantinople",
02-21,2,21,"Saint Zachariah, Patriarch of Jerusalem",
02-22,2,22,,
02-23,2,23,"Hieromartyr Polycarp, Bishop of Smyrna",
02-23,2,23,Saint Gorgonia (sister of St Gregory the Theologian),
02-23,2,23,Venerable Alexander the 'Unsleeping' (Akatheistos),
02-24,2,24,1st and 2nd Finding of the Honorable Head of St John the Baptist (feast,
02-24,2,24,Saint John the Baptist),
02-24,2,24,"Saint Æthelberht (Ethelbert), King of Kent",
02-25,2,25,"St Tarasius (Tarasios), Archbishop of Constantinople",
02-26,2,26,"St Porphyrius, Bishop of Gaza",
02-26,2,26,St Photini (the Samaritan Woman) and those with her,
02-27,2,27,"St Raphael, Bishop of Brooklyn",
02-27,2,27,Our Holy Father Procopius of Decapolis,
02-27,2,27,Venerable Titus of the Kiev Caves,
02-27,2,27,"St Leander, Bishop of Seville",
02-28,2,28,Venerable Basil the Confessor,
02-28,2,28,"Blessed Nicholas of Pskov, Fool for Christ",
