Date,Month,Day,Saint (EN),saint_el
03-01,3,1,Martyr Eudokia of Heliopolis,
03-02,3,2,Venerable Hesychius the Wonderworker of Jerusalem,
03-03,3,3,"Holy Martyrs Eutropius, Cleonicus, and Basiliscus of Amasea",
03-04,3,4,Venerable Gerasimus of the Jordan,
03-05,3,5,Martyr Conon the Gardener of Isauria,
03-06,3,6,The Forty-Two Martyrs of Ammoria,
03-07,3,7,"The Holy Hieromartyrs of Cherson: Basil, Ephraim, Eugene, Elpidius, Agathodoros, Aetherios, and Kapiton",
03-08,3,8,"Saint Theophylactus the Confessor, Bishop of Nicomedia",
03-09,3,9,The Forty Martyrs of Sebaste,
03-10,3,10,Martyr Quadratus (Codratus) and Companions of Corinth,
03-11,3,11,"Saint Sophronius, Patriarch of Jerusalem",
03-12,3,12,Saint Theophanes the Confessor (the Hymnographer) of Sigriane,
03-13,3,13,"Translation of the Relics of Saint Nicephorus, Patriarch of Constantinople",
03-14,3,14,"Venerable Benedict of Nursia, Abbot of Monte Cassino",
03-15,3,15,Martyr Agapius and his Companions of Caesarea in Palestine,
03-16,3,16,"Martyr Sabinus (Sabinas) of Hermopolis, Egypt",
03-17,3,17,"Venerable Alexis (Alexios), the Man of God",
03-17,3,17,"Saint Patrick, Bishop of Armagh, Enlightener of Ireland",
03-18,3,18,"Saint Cyril, Archbishop of Jerusalem",
03-19,3,19,Holy Martyrs Chrysanthus and Daria at Rome,
03-20,3,20,"Saint Cuthbert, Wonderworker of Lindisfarne",
03-21,3,21,"Saint James the Confessor, Bishop of Catania",
03-22,3,22,"Hieromartyr Basil, Bishop of Ancyra",
03-23,3,23,Holy Martyr Nikon and 199 Disciples in Sicily,
03-24,3,24,"Saint Artemon, Bishop of Seleucia in Pisidia",
03-25,3,25,Annunciation of the Most-Holy Theotokos (Theotokos),
03-26,3,26,Synaxis of the Archangel Gabriel,
03-26,3,26,"Venerable Basil the New, the Anchorite",
03-27,3,27,Holy Martyr Matrona of Thessalonica,
03-28,3,28,"Venerable Hilarion the New, Abbot of Pelekete",
03-29,3,29,"Holy Hieromartyr Mark, Bishop of Arethusa, and Saint Cyril the Deacon",
03-30,3,30,Saint John Climacus (of the Ladder),
03-31,3,31,"Saint Hypatius, Bishop of Gangra",
