Date,Month,Day,Saint (EN),saint_el
05-01,5,1,Holy Prophet Jeremiah,
05-01,5,1,"Saint Tamara, Queen of Georgia",
05-02,5,2,Saint Athanasius the Great (commemoration of his relics),
05-02,5,2,"Holy Martyrs Hesperus and Zoe, and their children Cyriacus and Theodulus",
05-03,5,3,Holy Martyrs Timothy and Maura,
05-04,5,4,Holy Virgin‑Martyr Pelagia of Tarsus,
05-05,5,5,Great‑Martyr Irene of Thessalonica,
05-06,5,6,Righteous Job the Much‑Suffering,
05-07,5,7,Martyr Acacius the Centurion of Byzantium,
05-08,5,8,Holy Apostle and Evangelist John the Theologian,
05-08,5,8,Venerable Arsenius the Great,
05-09,5,9,Holy Prophet Isaiah,
05-09,5,9,Saint Christopher the Martyr,
05-10,5,10,Holy Apostle Simon the Zealot,
05-10,5,10,Saint Isidora the Fool‑for‑Christ of Tabenna,
05-11,5,11,"Equals‑to‑the‑Apostles Cyril and Methodius, Teachers of the Slavs",
05-11,5,11,Hieromartyr Mocius of Amphipolis,
05-12,5,12,"Saint Epiphanius, Bishop of Cyprus",
05-12,5,12,"Saint Germanus, Patriarch of Constantinople",
05-13,5,13,Virgin‑Martyr Glyceria of Heraclea,
05-13,5,13,Martyr Laodicius the Jailor,
05-14,5,14,Martyr Isidore of Chios,
05-15,5,15,Venerable Pachomius the Great,
05-15,5,15,"Saint Achillius, Bishop of Larissa",
05-16,5,16,Venerable Theodore the Sanctified (disciple of Pachomius),
05-17,5,17,Holy Apostles Andronicus and Junia of the Seventy,
05-17,5,17,Martyr Solochon of Chalcedon,
05-18,5,18,Martyr Theodotus of Ancyra and the Seven Virgin‑Martyrs,
05-19,5,19,"Hieromartyr Patrick, Bishop of Prusa, and companions",
05-20,5,20,Saint Thallelaius the Unmercenary,
05-21,5,21,Equals‑to‑the‑Apostles Emperor Constantine and Empress Helen,
05-22,5,22,Translation of the Relics of Saint Nicholas the Wonderworker (to Bari),
05-22,5,22,Holy Martyr Basiliscus,
05-23,5,23,"Saint Michael the Confessor, Bishop of Synnada",
05-23,5,23,"Saint Euphrosyne, Abbess of Polotsk",
05-24,5,24,Venerable Symeon the Stylite of the Wonderful Mountain,
05-25,5,25,Third Finding of the Head of Saint John the Baptist,
05-25,5,25,"Hieromartyr Therapon, Bishop of Cyprus",
05-26,5,26,Holy Apostles Carpus and Alphaeus of the Seventy,
05-26,5,26,"Saint Augustine, Archbishop of Canterbury",
05-27,5,27,"Saint John the Russian, Wonderworker of Evia",
05-27,5,27,Venerable Therapont of White Lake (Vologda),
05-28,5,28,"Saint Nicetas the Confessor, Archbishop of Chalcedon",
05-28,5,28,Holy Martyr Heliconis of Thessalonica,
05-29,5,29,Virgin‑Martyr Theodosia of Tyre,
05-29,5,29,"Saint Alexander, Archbishop of Alexandria",
05-29,5,29,"Saint John the New, Patriarch of Constantinople",
05-29,5,29,"Saint Paul the Confessor, Patriarch of Constantinople",
05-30,5,30,"Saint Isaac the Confessor, founder of the Dalmatian Monastery (Constantinople)",
05-31,5,31,Hieromartyr Hermias at Comana,
