id,code,is_season,event_category_id,name,name_translation_id,description,description_translation_id,comment,comment_translation_id
1,fast.wednesday,0,17,Τετάρτη,26,Τετάρτη,35,none,0
2,fast.friday,0,17,Παρασκευή,78,Παρασκευή,35,none,0
3,feast.weekpublicanandpharisee,1,9,Εβδομάδα του Τελώνου και του Φαρισαίου,76,Εβδομάδα του Τελώνου και του Φαρισαίου,0,none,0
4,feast.cheesefare,1,9,Τυρινή,77,Τυρινή,0,none,0
5,feast.renewalweek,1,8,Διακαινήσιμος Εβδομάς,75,Διακαινήσιμος Εβδομάς,0,none,0
6,feast.circumcision_of_christ,0,10,Περιτομή του Κυρίου,79,Περιτομή του Κυρίου,0,none,0
7,feast.st._basil_the_great,0,6,Άγιος Βασίλειος ο Μέγας,63,Άγιος Βασίλειος ο Μέγας,0,none,0
8,feast.παραμονή_θεοφανείων,0,12,Παραμονή Θεοφανείων,52,Παραμονή Θεοφανείων,53,none,0
9,feast.theophany_(epiphany),0,3,Θεοφάνεια (Επιφάνεια),36,Θεοφάνεια (Επιφάνεια),37,none,0
10,feast.synaxis_of_st._john_the_baptist,0,5,Σύναξη του Τιμίου Προδρόμου και Βαπτιστού Ιωάννου,64,Σύναξη του Τιμίου Προδρόμου και Βαπτιστού Ιωάννου,0,none,0
11,feast.st._anthony_the_great,0,6,Άγιος Αντώνιος ο Μέγας,80,Άγιος Αντώνιος ο Μέγας,0,none,0
12,feast.sts._athanasios_&_cyril,0,6,Άγιοι Αθανάσιος και Κύριλλος,81,Άγιοι Αθανάσιος και Κύριλλος,0,none,0
13,feast.st._euthymious_the_great,0,6,Άγιος Ευθύμιος ο Μέγας,82,Άγιος Ευθύμιος ο Μέγας,0,none,0
14,feast.st._gregory_the_theologian,0,6,Άγιος Γρηγόριος ο Θεολόγος,83,Άγιος Γρηγόριος ο Θεολόγος,0,none,0
15,"feast.removal_of_the_relics_of_john_chrysostom_
",0,6,Μετακομιδή των Λειψάνων του Ιωάννου του Χρυσοστόμου,84,Μετακομιδή των Λειψάνων του Ιωάννου του Χρυσοστόμου,0,none,0
16,feast.st_ephraim_the_syrian,0,6,Άγιος Εφραίμ ο Σύρος,141,Άγιος Εφραίμ ο Σύρος,0,none,0
17,feast.three_hierarchs,0,6,Τρεις Ιεράρχες,27,Τρεις Ιεράρχες,0,none,0
18,feast.presentation_of_christ_in_the_temple_(hypapante),0,3,Υπαπαντή του Κυρίου,85,Υπαπαντή του Κυρίου,0,none,0
19,feast.st._haralambos,0,6,Άγιος Χαράλαμπος,86,Άγιος Χαράλαμπος,0,none,0
20,feast.blaise_the_hieromartyr_of_sebastian,0,6,Άγιος Βλάσιος ο Ιερομάρτυρας (Σεβαστείας),87,Άγιος Βλάσιος ο Ιερομάρτυρας (Σεβαστείας),0,none,0
21,feast.st._theodore_the_tyro,0,6,Άγιος Θεόδωρος ο Τήρων,88,Άγιος Θεόδωρος ο Τήρων,0,none,0
22,feast.george_karslidis_the_confessor,0,8,Άγιος Γεώργιος Καρσλίδης ο Ομολογητής,140,Άγιος Γεώργιος Καρσλίδης ο Ομολογητής,0,none,0
23,feast.first_and_second_finding_of_the_venerable_head_of_john_the_baptist,0,5,Πρώτη και Δεύτερη Εύρεση της Τιμίας Κεφαλής του Αγίου Ιωάννη του Προδρόμου,90,Πρώτη και Δεύτερη Εύρεση της Τιμίας Κεφαλής του Αγίου Ιωάννη του Προδρόμου,0,none,0
24,feast.clean_monday,1,12,Καθαρά Δευτέρα,91,Καθαρά Δευτέρα,0,none,0
25,feast.great_lent,1,16,Μεγάλη Τεσσαρακοστή,45,Μεγάλη Τεσσαρακοστή,0,none,0
26,feast.forty_martyrs_of_sebaste,0,6,Άγιοι Τεσσαράκοντα Μάρτυρες της Σεβαστείας,89,Άγιοι Τεσσαράκοντα Μάρτυρες της Σεβαστείας,0,none,0
27,feast.holyweek,1,13,Μεγάλη Εβδομάδα,10,Μεγάλη Εβδομάδα,33,none,0
28,feast.annunciation_of_the_theotokos,0,4,Ευαγγελισμός της Θεοτόκου,29,Ευαγγελισμός της Θεοτόκου,34,none,0
29,feast.lazarus_saturday,1,6,Σάββατο του Λαζάρου,92,Σάββατο του Λαζάρου,0,none,0
30,feast.palm_sunday,1,13,Κυριακή των Βαΐων,30,Κυριακή των Βαΐων,0,none,0
31,feast.holy_monday,1,13,Μεγάλη Δευτέρα,93,Μεγάλη Δευτέρα,0,none,0
32,feast.holy_tuesday,1,13,Μεγάλη Τρίτη,94,Μεγάλη Τρίτη,0,none,0
33,feast.holy_wednesday,1,13,Μεγάλη Τετάρτη,95,Μεγάλη Τετάρτη,0,none,0
34,feast.holy_thursday,1,13,Μεγάλη Πέμπτη,56,Μεγάλη Πέμπτη,57,none,0
35,feast.holy_friday,1,13,Μεγάλη Παρασκευή,96,Μεγάλη Παρασκευή,0,none,0
36,feast.holy_saturday,1,13,Μεγάλο Σάββατο,97,Μεγάλο Σάββατο,0,none,0
37,feast.pascha_(easter),1,13,Πάσχα,54,Πάσχα,55,none,0
38,feast.bright_monday,1,3,Δευτέρα της Διακαινησίμου,98,Δευτέρα της Διακαινησίμου,0,none,0
39,feast.mid-pentecost,1,8,Μεσοπεντηκοστή,99,Μεσοπεντηκοστή,0,none,0
40,feast.apodosis_tou_pascha,1,8,Απόδοση του Πάσχα,100,Απόδοση του Πάσχα,0,none,0
41,feast.sts.raphael_nicholas_&_irene_(bright_tuesday),1,6,"Άγιοι Ραφαήλ, Νικόλαος και Ειρήνη (Τρίτη της Διακαινησίμου)",101,"Άγιοι Ραφαήλ, Νικόλαος και Ειρήνη (Τρίτη της Διακαινησίμου)",,none,0
42,feast.st._george,1,6,Άγιος Γεώργιος,102,Άγιος Γεώργιος,143,none,0
43,feast.st._mark_the_evangelist,0,6,Άγιος Μάρκος ο Ευαγγελιστής,103,Άγιος Μάρκος ο Ευαγγελιστής,0,none,0
44,feast.thomas_sunday,1,8,Κυριακή του Θωμά,46,Κυριακή του Θωμά,47,none,0
45,feast.sts._constantine_&_helen,0,6,Άγιοι Κωνσταντίνος και Ελένη,104,Άγιοι Κωνσταντίνος και Ελένη,0,none,0
46,feast.ascension,1,8,Ανάληψη του Κυρίου,105,Ανάληψη του Κυρίου,0,none,0
47,feast.pentecost,1,8,Πεντηκοστή,106,Πεντηκοστή,0,none,0
48,feast.fasting_period_of_the_holy_apostles,1,16,Νηστεία των Αγίων Αποστόλων,58,Νηστεία των Αγίων Αποστόλων,59,none,0
49,feast.holy_spirit_monday,1,8,Δευτέρα του Αγίου Πνεύματος,107,Δευτέρα του Αγίου Πνεύματος,0,none,0
50,feast.st._john_the_baptist_(nativity),0,5,Γέννηση του Αγίου Ιωάννη του Προδρόμου,108,Γέννηση του Αγίου Ιωάννη του Προδρόμου,0,none,0
51,feast.sts._peter_&_paul,0,6,Άγιοι Πέτρος και Παύλος,109,Άγιοι Πέτρος και Παύλος,0,none,0
52,feast.synaxis_of_the_twelve_holy_apostles,0,6,Σύναξη των Δώδεκα Αγίων Αποστόλων,110,Σύναξη των Δώδεκα Αγίων Αποστόλων,0,none,0
53,feast.st._marina,0,6,Αγία Μαρίνα,111,Αγία Μαρίνα,0,none,0
54,feast.prophet_elias,0,6,Προφήτης Ηλίας,112,Προφήτης Ηλίας,0,none,0
55,feast.st._paraskevi,0,6,Αγία Παρασκευή,113,Αγία Παρασκευή,0,none,0
56,feast.st._panteleimon,0,6,Άγιος Παντελεήμων,114,Άγιος Παντελεήμων,0,none,0
57,feast.fasting_period_of_the_panagia,0,16,Νηστεία της Παναγίας,115,Νηστεία της Παναγίας,0,none,0
58,feast.transfiguration_of_christ,0,3,Μεταμόρφωση του Σωτήρος,40,Μεταμόρφωση του Σωτήρος,41,none,0
59,feast.dormition_of_the_theotokos,0,4,Κοίμηση της Θεοτόκου,38,Κοίμηση της Θεοτόκου,39,none,0
60,feast.st._phanourios,0,6,Άγιος Φανούριος,116,Άγιος Φανούριος,0,none,0
61,feast.beheading_of_st._john_the_baptist,0,5,Αποτομή της Κεφαλής του Αγίου Ιωάννη του Προδρόμου,43,Αποτομή της Κεφαλής του Αγίου Ιωάννη του Προδρόμου,0,none,0
62,feast.nativity_of_the_theotokos,0,4,Γέννηση της Θεοτόκου,42,Γέννηση της Θεοτόκου,0,none,0
63,feast.exaltation_of_the_holy_cross,0,3,Ύψωση του Τιμίου Σταυρού,60,Ύψωση του Τιμίου Σταυρού,0,none,0
64,feast.st._sophia_&_her_daughters,0,6,Αγία Σοφία και οι θυγατέρες της,117,Αγία Σοφία και οι θυγατέρες της,0,none,0
65,feast.conception_of_st._john_the_baptist,0,5,Σύλληψη του Αγίου Ιωάννη του Προδρόμου,118,Σύλληψη του Αγίου Ιωάννη του Προδρόμου,0,none,0
66,feast.st._john_the_theologian,0,6,Άγιος Ιωάννης ο Θεολόγος,119,Άγιος Ιωάννης ο Θεολόγος,0,none,0
67,feast.protection_of_the_theotokos,0,4,Αγία Σκέπη της Θεοτόκου,120,Αγία Σκέπη της Θεοτόκου,0,none,0
68,feast.st._luke_the_evangelist,0,6,Άγιος Λουκάς ο Ευαγγελιστής,121,Άγιος Λουκάς ο Ευαγγελιστής,0,none,0
69,feast.st._demetrios,0,6,Άγιος Δημήτριος,44,Άγιος Δημήτριος,0,none,0
70,feast.synaxis_of_the_archangels,0,6,Σύναξη των Αρχαγγέλων,122,Σύναξη των Αρχαγγέλων,0,none,0
71,feast.st._nektarios_of_aegina,0,6,Άγιος Νεκτάριος Αιγίνης,123,Άγιος Νεκτάριος Αιγίνης,0,none,0
