Date,Month,Day,Saint (EN),saint_el
01-01,1,1,"Saint Basil the Great, Archbishop of Caesarea in Cappadocia",
01-02,1,2,"Saint Seraphim of Sarov, Wonderworker",
01-03,1,3,Holy Prophet Malachi,
01-03,1,3,Martyr Gordius of Caesarea,
01-04,1,4,Synaxis of the Seventy Apostles,
01-05,1,5,Venerable Syncletica of Alexandria,
01-05,1,5,Holy Martyrs Theopemptus and Theonas,
01-07,1,7,Synaxis of Saint John the Baptist,
01-08,1,8,Saint George the Chozebite,
01-08,1,8,Saint Domnica of Constantinople,
01-09,1,9,Holy Martyr Polyeuctus of Melitene,
01-10,1,10,Saint Gregory of Nyssa,
01-10,1,10,"Saint Dometian, Bishop of Melitene",
01-11,1,11,"Saint Theodosius the Great, the Cenobiarch",
01-12,1,12,Holy Martyr Tatiana of Rome,
01-13,1,13,Holy Martyrs Hermylus and Stratonicus,
01-13,1,13,Saint Maximus of Kavsokalyvia,
01-14,1,14,"Saint Nina (Nino), Equal-to-the-Apostles, Enlightener of Georgia",
01-15,1,15,Saint John the Hut-Dweller,
01-15,1,15,Saint Paul of Thebes,
01-16,1,16,Veneration of the Chains of the Holy Apostle Peter,
01-17,1,17,Saint Anthony the Great,
01-18,1,18,"Saint Athanasius the Great, Archbishop of Alexandria",
01-18,1,18,Saint Cyril of Alexandria,
01-19,1,19,Saint Macarius the Great of Egypt,
01-19,1,19,Saint Macarius of Alexandria,
01-20,1,20,Saint Euthymius the Great,
01-21,1,21,Saint Maximus the Confessor,
01-21,1,21,Holy Greatmartyr Neophytus of Nicaea,
01-22,1,22,Holy Apostle Timothy of the Seventy,
01-22,1,22,Saint Anastasius the Persian (Martyr),
01-23,1,23,"Hieromartyr Clement, Bishop of Ancyra",
01-23,1,23,Hieromartyr Agathangelus,
01-24,1,24,Saint Xenia of Petersburg,
01-24,1,24,Saint Neophytus the Recluse of Cyprus,
01-25,1,25,Saint Gregory the Theologian (Nazianzus),
01-26,1,26,"Saint Xenophon and his wife Mary, and their sons Arcadius and John",
01-27,1,27,Translation of the Relics of Saint John Chrysostom,
01-28,1,28,Saint Ephraim the Syrian,
01-28,1,28,Saint Isaac the Syrian (St Isaac of Nineveh),
01-29,1,29,Translation of the Relics of Saint Ignatius the God-bearer (Theophorus),
01-30,1,30,Saint Basil the Great,
01-30,1,30,Saint Gregory the Theologian,
01-30,1,30,Saint John Chrysostom,
01-31,1,31,"Holy Unmercenaries Cyrus and John, and those with them",
