Date,Month,Day,Saint (EN),saint_el
06-01,6,1,Saint Justin the Philosopher and Martyr,
06-02,6,2,"Saint Nicephorus the Confessor, Patriarch of Constantinople",
06-02,6,2,Saint John the New of Suceava,
06-03,6,3,Holy Martyr Lucillian and those with him,
06-04,6,4,"Saint Metrophanes, Patriarch of Constantinople",
06-05,6,5,"Hieromartyr Dorotheus, Bishop of Tyre",
06-06,6,6,"Venerable Hilarion the New, Abbot of the Dalmatian Monastery",
06-07,6,7,"Hieromartyr Theodotus, Bishop of Ancyra",
06-08,6,8,Greatmartyr Theodore Stratelates (translation of relics),
06-09,6,9,"Saint Cyril, Archbishop of Alexandria",
06-10,6,10,"Hieromartyr Timothy, Bishop of Prusa",
06-11,6,11,Holy Apostles Bartholomew and Barnabas,
06-12,6,12,Venerable Onuphrius the Great,
06-12,6,12,Venerable Peter of Mount Athos,
06-13,6,13,Virgin-Martyr Aquilina of Byblos,
06-13,6,13,"Saint Triphyllius, Bishop of Nicosia (Leucosia)",
06-14,6,14,Holy Prophet Elisha,
06-14,6,14,"Saint Methodius, Patriarch of Constantinople",
06-15,6,15,Holy Prophet Amos,
06-16,6,16,"Saint Tikhon (Tychon), Bishop of Amathus, Wonderworker of Cyprus",
06-17,6,17,"Holy Martyrs Manuel, Sabel, and Ismael of Persia",
06-18,6,18,"Holy Martyr Leontius of Tripoli, and those with him",
06-19,6,19,Holy Apostle Jude (Thaddeus),
06-19,6,19,Venerable Paisius the Great,
06-20,6,20,"Hieromartyr Methodius, Bishop of Patara",
06-21,6,21,Holy Greatmartyr Julian of Tarsus,
06-22,6,22,"Saint Eusebius, Bishop of Samosata",
06-23,6,23,Virgin-Martyr Agrippina of Rome,
06-24,6,24,Nativity of Saint John the Baptist (Forerunner),
06-25,6,25,Virgin-Martyr Febronia (Fevronia) of Nisibis,
06-26,6,26,Venerable David of Thessaloniki,
06-27,6,27,"Saint Sampson the Hospitable, Unmercenary",
06-28,6,28,"Saint Irenaeus, Bishop of Lyons",
06-29,6,29,"The Holy Glorious and All-Praiseworthy Leaders of the Apostles, Peter and Paul",
06-30,6,30,Synaxis of the Twelve Holy Apostles,
