id,code,is_season,event_category_id,name,name_translation_id,description,description_translation_id,comment,comment_translation_id
1,feast.beginning_indiction,0,2,Aρχή της Ινδίκτου,34,Σηματοδοτεί την έναρξη του εκκλησιαστικού (λειτουργικού) έτους.,194,1.09,1
2,feasts.st_meletios,0,6,Όσιος Μελέτιος ,35,,1,1.09,1
3,feasts.miracle_archangel_michael,0,6,Ανάμνηση του γεγονότος θαύματος εν Κολασσαίς (ή Χώναις) του Αρχαγγέλου Μιχαήλ,36,"Θαύμα του Αρχηστράτηγου Μιχαήλ στις Κολασσαί, αρχαία πόλη της Φρυγίας στη Μικρά Ασία",195,6.09,1
4,feast.nativity_of_the_theotokos,0,4,"Το γενέθλιον της υπεραγίας Δεσποίνης ημών Θεοτόκου, και αειπαρθένου Μαρίας",37,Γέννηση της Θεοτόκου,196,8.09,1
5,feast.ancestors_joachim_anna,0,6,Των αγίων και δικαίων Θεοπατόρων Ιωακείμ και Άννης,38,Εορτάζουν οι γονείς της Υπεραγίας Θεοτόκου,197,9.09,1
6,feast.inauguration_holy_christ,0,2,Τα Εγκαίνια του Ναού της αγίας του Χριστού και Θεού ημών Αναστάσεως ,39,Εγκαίνια του ναού που ανεγέρθηκε στον Πανάγιο Τάφο,198,13.9,1
7,feast.forefeast_elevation_holycross,0,2,Προεόρτια του τιμίου και ζωοποιού Σταυρού,40,Μια μέρα πριν την Ύψωση του Τιμίου Σταυρού ,199,13.9,1
8,feast.st._sophia_&_her_daughters,0,6,Αγία Σοφία και οι θυγατέρες της,41,Αγία Σοφία και οι θυγατέρες της,200,17.9,1
9,feast.st_cornelius,0,6,Του Αγίου Ιερομάρτυρος Κορνηλίου του Εκατοντάρχου,42,Αναφέρεται στις Πράξεις των Αποστόλων ,201,13.09,1
10,feast.exaltation_of_the_holy_cross,0,3,Ύψωση του Τιμίου Σταυρού,43,Ύψωση του Τιμίου Σταυρού,202,14.9,1
11,feast.st_ephstathios,0,6,Του Αγίου Μεγαλομάρτυρος Ευσταθίου και συνοδείας αυτού ,44,"Του αγίου Μεγαλομάρτυρος Ευσταθίου, και Θεοπίστης της συμβίου αυτού, και των δύο υιών αυτών, Αγαπίου και Θεοπίστου",203,20.9,1
12,feast.conception_of_st._john_the_baptist,0,5,"Η Σύλληψις του τιμίου και ενδόξου Προφήτου, Προδρόμου, και Βαπτιστού Ιωάννου",45,Σύλληψη του Αγίου Ιωάννη του Προδρόμου,204,23.9,1
13,feast.st_john_evangelist_sleep,0,6,Η Μετάστασης του αγίου Αποστόλου και Ευαγγελιστού Ιωάννου του Θεολόγου,46,"Αναφέρεται στο ευαγγελικό χωρίο, Ιωάννου κα’ 22 και στο αμέσως επόμενο στίχο κα' 23 διευκρινίζει τα πράγματα.",205,26.9,1
14,feast.st_thomas_apostle,0,6,Του αγίου και ενδόξου Αποστόλου Θωμά,47, ,206,6th october,1
15,feast.st._luke_the_evangelist,0,6,Του αγίου Αποστόλου και Ευαγγελιστού Λουκά,48,"Κατηχήθηκε από τον Απόστολο Παύλο, τον οποίο συνάντησε στη Θήβα.",207,18.1,1
16,feast.st_iakovos_apostle,0,6,Του αγίου Αποστόλου Ιακώβου του Αδελφοθέου πρώτου επισκόπου Ιεροσολύμων,49,Του αγίου Αποστόλου Ιακώβου του Αδελφοθέου πρώτου επισκόπου Ιεροσολύμων και ήταν εκείνος που έγραψε την πρώτη Θεία Λειτουργία της χριστιανικής Εκκλησίας.,208,23.1,1
17,feast.st._demetrios,0,6,Του Αγίου Μεγαλομάρτυρος Δημητρίου του Μυροβλήτου,50,Άγιος Δημήτριος,209,28.1,1
18,feast.protection_of_the_theotokos,0,4,Αγία Σκέπη της Θεοτόκου,51,Αγία Σκέπη της Θεοτόκου,210,28.1,1
19,feast.george_karslidis_the_confessor,0,6,Άγιος Γεώργιος Καρσλίδης ο Ομολογητής,52,Άγιος Γεώργιος Καρσλίδης ο Ομολογητής,211,4.11,1
20,feast.st_cosmas_damian,0,6,"Των αγίων και θαυματουργών Αναργύρων, Κοσμά και Δαμιανού και της οσίας αυτών μητρός Θεοδότης",53,"Των αγίων και θαυματουργών Αναργύρων, Κοσμά και Δαμιανού και της οσίας αυτών μητρός Θεοδότης",212,1.11,1
21,feast.synaxis_of_the_archangels,0,6,"Η Σύναξις του Αρχιστρατήγου Μιχαήλ, και των λοιπών Ασωμάτων Δυνάμεων",54,Σύναξη των Αρχαγγέλων,213,8.11,1
22,feast.st_john_merciful,0,6,"Του εν αγίοις Πατρός ημών Ιωάννου, αρχιεπισκόπου Αλεξανδρείας, του Ελεήμονος και του οσίου Νείλου",55,Άγιος Ιωάννης ο Ελεήμονας Αρχιεπίσκοπος Αλεξανδρείας,214,12.11,1
23,feast.st_john_chrysostom,0,6,"Ιωάννου, αρχιεπισκόπου Κωνσταντινουπόλεως, του Χρυσοστόμου",56,Άγιος Ιωάννης Χρυσόστομος,215,13.11,1
24,feast.st_philip_apostle,0,6,Του αγίου και πανευφήμου Αποστόλου Φιλίππου,57,Ήταν μεταξύ των δώδεκα μαθητών του Κυρίου,216,14.11,1
25,feast.st_matthew_apostle,0,6,Του αγίου Αποστόλου και Ευαγγελιστού Ματθαίου,58,Ήταν μεταξύ των δώδεκα μαθητών του Κυρίου,217,16.11,1
26,feast.entry_of_the_theotokos_into_the_temple,0,4,Τα Εισόδια της Υπεραγίας Θεοτόκου,59,Εισόδια της Θεοτόκου,218,21.11,1
27,feast.st._nektarios_of_aegina,0,6,Άγιος Νεκτάριος Αιγίνης,60,Άγιος Νεκτάριος Αιγίνης,219,9.11,1
28,feast.st._catherine,0,6,Της αγίας Μεγαλομάρτυρος Αικατερίνης,61,Αγία Αικατερίνη,220,25.11,1
29,feast.st._andrew_the_apostle,0,6,Του αγίου ενδόξου και πανευφήμου Αποστόλου Ανδρέου του Πρωτοκλήτου,62,Άγιος Ανδρέας ο Απόστολος,221,30.11,1
30,feast.st._barbara,0,6,Της αγίας Μεγαλομάρτυρος Βαρβάρας ,63,Αγία Βαρβάρα,222,4.12,1
31,feast.st_john_damascus,0,6,Του οσίου Πατρός ημών Ιωάννου του Δαμασκηνού,64,Του οσίου Πατρός ημών Ιωάννου του Δαμασκηνού,223,4.12,1
32,feast.st._savvas,0,6,Του αγίου και θεοφόρου Πατρός ημών Σάββα,65,Άγιος Σάββας,224,5.12,1
33,feast.st._nicholas,0,6,"Του αγίου Πατρός ημών Νικολάου, επισκόπου Μύρων της Λυκίας, του θαυματουργού",66,Άγιος Νικόλαος,225,6.12,1
34,feast.st_anna_conception,0,6,Η Σύλλληψις της αγίας και Θεοπρομήτορος Άννης,67,Σύλληψις της αγίας Άννης,226,9.12,1
35,feast.sunday_forefathers,1,6,Κυριακή των αγίων Προπατόρων,68,"Κυριακή πριν την Κυριακή προ της γεννήσεως του Χριστού, μνήμη των Προπατόρων Του.",227,"11.12 αν πέσει Κυριακή, αλλιώς εορτάζεται την δεύτερη Κυριακή πριν απο τα Χριστούγεννα",1
36,feast.st._spyridon,0,6,"Του εν αγίοις Πατρός ημών Σπυρίδωνα, επισκόπου Τριμυθούντος της εν Κύπρου του Θαυματουργού",69,Άγιος Σπυρίδων,228,12.12,1
37,feast.st._eleftherios,0,6,Του αγίου Ιερομάρτυρος Ελευθερίου,70,Άγιος Ελευθέριος,229,15.12,1
38,feast.prophet_daniel,0,6,"Του αγίου Προφήτου Δανιήλ, και των αγίων Τριών Παίδων, Ανανίου, Αζαρίου, και Μισαήλ",71,"Του αγίου Προφήτου Δανιήλ, και των αγίων Τριών Παίδων, Ανανίου, Αζαρίου, και Μισαήλ",230,17.12,1
39,feast.st._dionysios_of_zakynthos,0,6,Του εν αγίοις Πατρός ημών Διονυσίου Αρχιεπισκόπου Αιγίνης,72,"Άγιος Διονύσιος ο Νέος, ο Ζακυνθινός Αρχιεπίσκοπος Αιγίνης ",231,17.12,1
40,feast.sunday_before_nativity,1,6,Κυριακή προ της Χριστού Γεννήσεως,73,Μνήμη των Αγίων Προπατόρων,232,"18.2 αν πέσει Κυριακή, αλλιώς εορτάζεται την Κυριακή πριν απο τα Χριστούγεννα",1
41,feast.st._ignatius_gold-bearer,0,6,Του αγίου Ιερομάρτυρος Ιγνατίου του Θεοφόρου,74,Άγιος Ιγνάτιος ο Θεοφόρος,233,20.12,1
42,feast.st._anastasia_the_pharmakolytria,0,6,Της αγίας Μεγαλομάρτυρας Αναστασίας της Φαρμακολυτρίας,75,Αγία Αναστασία η Φαρμακολύτρια,234,22.12,1
43,feast.st._eugenia,0,6,Της αγίας Οσιομάρτυρος Ευγενίας,76,Αγία Ευγενία,235,24.12,1
44,feast.christmas_eve,0,16,Παραμονή της Χριστού Γεννήσεως,77,Παραμονή Χριστουγέννων,236,24.12,1
