id,code,date_rule_type_id,fasting_type_id,event_id,start_month,start_day,end_month,end_day,description,description_translation_id,comment,comment_translation_id
1,eventdate.feast001,1,2,1,9,1,9,1,Κατάλυση οίνου και ελαίου,1,,1
2,eventdate.feast002,1,2,2,9,1,9,1,,1,,1
3,eventdate.feast003,1,2,3,9,6,9,6,Κατάλυση οίνου και ελαίου,1,,1
4,eventdate.feast004,1,3,4,9,8,9,8,Κατάλυση ιχθύος,1,Easter +6,1
5,eventdate.feast005,1,2,5,9,9,9,9,Κατάλυση οίνου και ελαίου,1,Annunciation:  fixed single day (no offset),1
6,eventdate.feast006,1,2,6,9,13,9,13,Κατάλυση οίνου και ελαίου,1,,1
7,eventdate.feast007,1,2,7,9,13,9,13,Κατάλυση οίνου και ελαίου,1,Palm Sunday,1
8,eventdate.feast008,1,,8,9,17,9,17,,1,,1
9,eventdate.feast009,1,,9,9,13,9,13,,1,Clean Monday,1
10,eventdate.feast010,1,1,10,9,14,9,14,Αργία και νηστεία,1,,1
11,eventdate.feast011,1,2,11,9,20,9,20,Κατάλυση οίνου και ελαίου,1,,1
12,eventdate.feast012,1,2,12,9,23,9,23,Κατάλυση οίνου και ελαίου,1,,1
13,eventdate.feast013,1,2,13,9,26,9,26,Κατάλυση οίνου και ελαίου,1,,1
14,eventdate.feast014,1,2,14,10,6,10,6,Κατάλυση οίνου και ελαίου,1,,1
15,eventdate.feast015,1,2,15,10,18,10,18,Κατάλυση οίνου και ελαίου,1,,1
16,eventdate.feast016,1,2,16,10,23,10,23,Κατάλυση οίνου και ελαίου,1,,1
17,eventdate.feast017,1,2,17,10,26,10,26,Κατάλυση οίνου και ελαίου,1,,1
18,eventdate.feast018,1,3,18,10,28,10,28,Κατάλυση ιχθύος,1,,1
19,eventdate.feast019,1,,19,11,4,11,4,,1,,1
20,eventdate.feast020,1,2,20,11,1,11,1,Κατάλυση οίνου και ελαίου,1,,1
21,eventdate.feast021,1,2,21,11,8,11,8,Κατάλυση οίνου και ελαίου,1,,1
22,eventdate.feast022,1,2,22,11,12,11,12,Κατάλυση οίνου και ελαίου,1,,1
23,eventdate.feast023,1,2,23,11,13,11,13,Κατάλυση οίνου και ελαίου,1,,1
24,eventdate.feast024,1,3,24,11,14,11,14,Κατάλυση ιχθύος,1,,1
25,eventdate.feast025,1,2,25,11,16,11,16,Κατάλυση οίνου και ελαίου,1,,1
26,eventdate.feast026,1,3,26,11,21,11,21,Κατάλυση ιχθύος,1,,1
27,eventdate.feast027,1,,27,11,9,11,9,,1,,1
28,eventdate.feast028,1,2,28,11,25,11,25,Κατάλυση οίνου και ελαίου,1,,1
29,eventdate.feast029,1,2,29,11,30,11,30,Κατάλυση οίνου και ελαίου,1,,1
30,eventdate.feast030,1,2,30,12,4,12,4,Κατάλυση οίνου και ελαίου,1,,1
31,eventdate.feast031,1,2,31,12,4,12,4,Κατάλυση οίνου και ελαίου,1,,1
32,eventdate.feast032,1,2,32,12,5,12,5,Κατάλυση οίνου και ελαίου,1,,1
33,eventdate.feast033,1,2,33,12,6,12,6,Κατάλυση οίνου και ελαίου,1,,1
34,eventdate.feast034,1,2,34,12,9,12,9,Κατάλυση οίνου και ελαίου,1,,1
35,eventdate.feast035,3,,35,,,,,"11.12 αν πέσει Κυριακή, αλλιώς εορτάζεται την δεύτερη Κυριακή πριν απο τα Χριστούγεννα",1,,1
36,eventdate.feast036,1,2,36,12,12,12,12,Κατάλυση οίνου και ελαίου,1,,1
37,eventdate.feast037,1,2,37,12,15,12,15,Κατάλυση οίνου και ελαίου,1,,1
38,eventdate.feast038,1,2,38,12,17,12,17,Κατάλυση οίνου και ελαίου,1,,1
39,eventdate.feast039,1,2,39,12,17,12,17,Κατάλυση οίνου και ελαίου,1,,1
40,eventdate.feast040,3,,40,,,,,"18.2 αν πέσει Κυριακή, αλλιώς εορτάζεται την Κυριακή πριν απο τα Χριστούγεννα",1,,1
41,eventdate.feast041,1,2,41,12,20,12,20,Κατάλυση οίνου και ελαίου,1,,1
42,eventdate.feast042,1,,42,12,22,12,22,,1,,1
43,eventdate.feast043,1,,43,12,24,12,24,,1,,1
44,eventdate.feast044,1,,44,12,24,12,24,,1,,1
45,eventdate.feast045,1,5,45,12,25,12,25,Κατάλυση εις πάντα,1,,1
46,eventdate.feast046,1,5,46,12,26,12,26,Κατάλυση εις πάντα,1,,1
47,eventdate.feast047,1,5,47,12,27,12,27,Κατάλυση εις πάντα,1,,1
48,eventdate.feast048,3,5,48,,,,,"26.12 αν πέσει Κυριακή, αλλιώς την πρώτη Κυριακή μετά τις 26.12",1,,1
49,eventdate.feast049,1,5,49,1,1,1,1,Κατάλυση εις πάντα,1,,1
50,eventdate.feast050,1,5,50,1,1,1,1,Κατάλυση εις πάντα,1,,1
51,eventdate.feast051,1,,51,1,5,1,5,Αργία και νηστεία,1,,1
52,eventdate.feast052,1,5,52,1,6,1,6,Κατάλυση εις πάντα,1,,1
53,eventdate.feast053,1,3,53,1,7,1,7,Κατάλυση ιχθύος,1,,1
54,eventdate.feast054,1,2,54,1,11,1,11,Κατάλυση οίνου και ελαίου,1,,1
55,eventdate.feast055,1,2,55,1,16,1,16,Κατάλυση οίνου και ελαίου,1,,1
56,eventdate.feast056,1,2,56,1,17,1,17,Κατάλυση οίνου και ελαίου,1,,1
57,eventdate.feast057,1,2,57,1,18,1,18,Κατάλυση οίνου και ελαίου,1,,1
58,eventdate.feast058,1,2,58,1,20,1,20,Κατάλυση οίνου και ελαίου,1,,1
59,eventdate.feast059,1,2,59,1,22,1,22,Κατάλυση οίνου και ελαίου,1,,1
60,eventdate.feast060,1,2,60,1,25,1,25,Κατάλυση οίνου και ελαίου,1,,1
61,eventdate.feast061,1,2,61,1,27,1,27,Κατάλυση οίνου και ελαίου,1,,1
62,eventdate.feast062,1,,62,1,28,1,28,,1,,1
63,eventdate.feast063,1,2,63,1,30,1,30,Κατάλυση οίνου και ελαίου,1,,1
64,eventdate.feast064,1,3,64,2,2,2,2,Κατάλυση ιχθύος,1,,1
65,eventdate.feast065,1,,65,2,3,2,3,,1,,1
66,eventdate.feast066,1,2,66,2,8,2,8,Κατάλυση οίνου και ελαίου,1,,1
67,eventdate.feast067,1,2,67,2,10,2,10,Κατάλυση οίνου και ελαίου,1,,1
68,eventdate.feast068,1,2,68,2,11,2,11,Κατάλυση οίνου και ελαίου,1,,1
69,eventdate.feast069,1,2,69,2,17,2,17,Κατάλυση οίνου και ελαίου,1,,1
70,eventdate.feast070,1,2,70,2,24,2,24,Κατάλυση οίνου και ελαίου,1,,1
71,eventdate.feast071,1,2,71,3,9,3,9,Κατάλυση οίνου και ελαίου,1,,1
72,eventdate.feast072,1,,72,3,24,3,24,,1,,1
73,eventdate.feast073,1,3,73,3,25,3,25,Κατάλυση ιχθύος,1,,1
74,eventdate.feast074,1,2,74,3,26,3,26,Κατάλυση οίνου και ελαίου,1,,1
75,eventdate.feast075,1,,75,4,1,4,1,,1,,1
76,eventdate.feast076,3,2,76,,,,,"23.4 αν πέσει πριν την μεγάλη τεσσαρακοστή, 23.4 αν πέσει μετά την εβδομαδα της διακαινησίμου , αλλιώς Τρίτη του Πάσχα",1,,1
